file,result,error
cnl00027403,True,
cnl00027445,True,
cnl00013743,True,
cnl00031105,True,
cnl00030402,True,
cnl00001408,True,
cnl00020221,True,
cnl00013908,True,
cnl00002634,True,
cnl00033490,True,
cnl00026987,True,
cnl00033493,True,
cnl00033492,True,
cnl00023224,True,
cnl00011614,True,
cnl00013947,True,
cnl00025392,True,
cnl00013573,True,
cnl00017565,True,
cnl00007164,True,
cnl00018243,True,
cnl00011631,True,
cnl00017162,True,
cnl00033744,True,
cnl00015982,True,
cnl00043899,True,
cnl00011474,True,
cnl00007494,True,
cnl00011989,True,
cnl00014343,True,
cnl00020804,True,
cnl00010761,True,
cnl00012710,True,
cnl00022458,True,
cnl00013701,True,
cnl00030818,True,
cnl00012521,True,
cnl00033494,True,
cnl00033495,True,
cnl00007449,True,
cnl00032293,True,
cnl00039650,True,
cnl00035513,True,
cnl00022092,True,
cnl00007065,True,
cnl00028730,True,
cnl00016300,True,
cnl00017263,True,
cnl00018776,True,
cnl00004370,True,
cnl00016897,True,
cnl00021225,True,
cnl00009639,True,
cnl00017356,True,
cnl00033702,True,
cnl00025052,True,
cnl00019472,True,
cnl00017406,True,
cnl00033745,True,
cnl00032051,True,
cnl00032764,True,
cnl00015523,True,
cnl00014250,True,
cnl00009485,True,
cnl00031893,True,
cnl00033498,True,
cnl00033499,True,
cnl00039597,True,
cnl00011118,True,
cnl00031354,True,
cnl00031657,True,
cnl00033746,True,
cnl00007055,True,
cnl00033747,True,
cnl00030866,True,
cnl00020556,True,
cnl00031819,True,
cnl00033501,True,
cnl00030399,True,
cnl00025505,True,
cnl00033749,True,
cnl00010699,True,
cnl00044410,True,
cnl00020217,True,
cnl00020216,True,
cnl00030638,True,
cnl00033502,True,
cnl00009832,True,
cnl00031276,True,
cnl00003667,True,
cnl00033750,True,
cnl00030696,True,
cnl00031091,True,
cnl00008351,True,
cnl00009127,True,
cnl00026240,True,
cnl00007725,True,
cnl00033503,True,
cnl00010052,True,
cnl00020840,True,
cnl00018799,True,
cnl00013341,True,
cnl00029818,True,
cnl00029313,True,
cnl00032144,True,
cnl00033752,True,
cnl00038731,True,
cnl00023897,True,
cnl00006174,True,
cnl00010931,True,
cnl00016117,True,
cnl00012517,True,
cnl00014920,True,
cnl00011260,True,
cnl00027229,True,
cnl00003090,True,
cnl00022308,True,
